survey,load_cmd,cy_data,wt,source,year,notes
eb662,"eb662 <- read_dta( ""gesis_files/ZA4527/ZA4527_v1-0-1.dta"")","data_frame(v6 = 1:33, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""WEST GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""GREAT BRITAIN"", ""NORTHERN IRELAND"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""EAST GERMANY"", ""NORWARY"", ""FINLAND"", ""SWEDEN"", ""AUSTRIA"", ""CYPRUS(REPUBLIC)"", ""CZECH REPUBLIC"", ""ESTONIA"", ""HUNGARY"", ""LATVIA"", ""LITHUANIA"", ""MALTA"", ""POLAND"", ""SLOVAKIA"", ""SLOVENIA"", ""BULGARIA"", ""ROMANIA"", ""TURKEY"", ""CROTIA"", ""CYPRUS(TCC)"" ), y_dcpo=2006)","wt662 <- eb662$V8;  wt[grep(""DE\\-"", eb662$v7)] <- eb662$v12[grep(""DE\\-"", eb662$v7)]; wt[grep(""GB\\-"", eb662$v7)] <- eb662$v10[grep(""DE\\-"", eb662$v7)]",GESIS: ZA4527,2006,excluding Norway
eb663,"eb663 <- read_dta( ""gesis_files/ZA4528/ZA4528_v2-0-1.dta"")","data_frame(v6 = 1:33, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""WEST GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""GREAT BRITAIN"", ""NORTHERN IRELAND"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""EAST GERMANY"", ""NORWARY"", ""FINLAND"", ""SWEDEN"", ""AUSTRIA"", ""CYPRUS(REPUBLIC)"", ""CZECH REPUBLIC"", ""ESTONIA"", ""HUNGARY"", ""LATVIA"", ""LITHUANIA"", ""MALTA"", ""POLAND"", ""SLOVAKIA"", ""SLOVENIA"", ""BULGARIA"", ""ROMANIA"", ""TURKEY"", ""CROTIA"", ""CYPRUS(TCC)"" ), y_dcpo=2006)","wt663 <- eb663$V8;  wt[grep(""DE\\-"", eb663$v7)] <- eb663$v12[grep(""DE\\-"", eb663$v7)]; wt[grep(""GB\\-"", eb663$v7)] <- eb663$v10[grep(""DE\\-"", eb663$v7)]",GESIS: ZA4528,2006,excluding Norway
eb671,"eb671 <- read_dta( ""gesis_files/ZA4529/ZA4529_v3-0-1.dta"")","data_frame(v6 = 1:32, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""WEST GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""GREAT BRITAIN"", ""NORTHERN IRELAND"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""EAST GERMANY"", ""NORWARY"", ""FINLAND"", ""SWEDEN"", ""AUSTRIA"", ""CYPRUS(REPUBLIC)"", ""CZECH REPUBLIC"", ""ESTONIA"", ""HUNGARY"", ""LATVIA"", ""LITHUANIA"", ""MALTA"", ""POLAND"", ""SLOVAKIA"", ""SLOVENIA"", ""BULGARIA"", ""ROMANIA"", ""Turkey"", ""Croatia""), y_dcpo=2007)","wt671 <- eb671$V8;  wt[grep(""DE\\-"", eb671$v7)] <- eb671$v12[grep(""DE\\-"", eb671$v7)]; wt[grep(""GB\\-"", eb671$v7)] <- eb671$v10[grep(""DE\\-"", eb671$v7)]",GESIS: ZA4529,2007,excluding Norway
eb672,"eb672 <- read_dta( ""gesis_files/ZA4530/ZA4530_v2-1-0.dta"")","data_frame(v6 = 1:34, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""WEST GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""GREAT BRITAIN"", ""NORTHERN IRELAND"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""EAST GERMANY"", ""NORWARY"", ""FINLAND"", ""SWEDEN"", ""AUSTRIA"", ""CYPRUS(REPUBLIC)"", ""CZECH REPUBLIC"", ""ESTONIA"", ""HUNGARY"", ""LATVIA"", ""LITHUANIA"", ""MALTA"", ""POLAND"", ""SLOVAKIA"", ""SLOVENIA"", ""BULGARIA"", ""ROMANIA"", ""TURKEY"", ""CROTIA"", ""CYPRUS(TCC)"", ""MACEDONIA(FYROM)"" ), y_dcpo=2007)","wt672 <- eb672$V8;  wt[grep(""DE\\-"", eb672$v7)] <- eb672$v12[grep(""DE\\-"", eb672$v7)]; wt[grep(""GB\\-"", eb672$v7)] <- eb672$v10[grep(""DE\\-"", eb672$v7)]",GESIS: ZA4530,2007,(1)excluding Norway; (2) first year with MACEDONIA(FYROM)
eb673,"eb673 <- read_dta( ""gesis_files/ZA4561/ZA4561_v2-1-0.dta"")","data_frame(v6 = 1:32, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""WEST GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""GREAT BRITAIN"", ""NORTHERN IRELAND"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""EAST GERMANY"", ""NORWARY"", ""FINLAND"", ""SWEDEN"", ""AUSTRIA"", ""CYPRUS(REPUBLIC)"", ""CZECH REPUBLIC"", ""ESTONIA"", ""HUNGARY"", ""LATVIA"", ""LITHUANIA"", ""MALTA"", ""POLAND"", ""SLOVAKIA"", ""SLOVENIA"", ""BULGARIA"", ""ROMANIA"", ""Turkey"", ""Croatia""), y_dcpo=2007)","wt673 <- eb673$V8;  wt[grep(""DE\\-"", eb673$v7)] <- eb673$v12[grep(""DE\\-"", eb673$v7)]; wt[grep(""GB\\-"", eb673$v7)] <- eb673$v10[grep(""DE\\-"", eb673$v7)]",GESIS: ZA4561,2007,excluding Norway
eb681,"eb681 <- read_dta( ""gesis_files/ZA4565/ZA4565_v4-0-1.dta"")","data_frame(v6 = 1:34, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""WEST GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""GREAT BRITAIN"", ""NORTHERN IRELAND"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""EAST GERMANY"", ""NORWARY"", ""FINLAND"", ""SWEDEN"", ""AUSTRIA"", ""CYPRUS(REPUBLIC)"", ""CZECH REPUBLIC"", ""ESTONIA"", ""HUNGARY"", ""LATVIA"", ""LITHUANIA"", ""MALTA"", ""POLAND"", ""SLOVAKIA"", ""SLOVENIA"", ""BULGARIA"", ""ROMANIA"", ""TURKEY"", ""CROTIA"", ""CYPRUS(TCC)"", ""MACEDONIA(FYROM)"" ), y_dcpo=2007)","wt681 <- eb681$V8;  wt[grep(""DE\\-"", eb681$v7)] <- eb681$v12[grep(""DE\\-"", eb681$v7)]; wt[grep(""GB\\-"", eb681$v7)] <- eb681$v10[grep(""DE\\-"", eb681$v7)]",GESIS: ZA4565,2007,excluding Norway
eb682,"eb682 <- read_dta( ""gesis_files/ZA4742/ZA4742_v4-0-1.dta"")","data_frame(v6 = 1:30, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""WEST GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""GREAT BRITAIN"", ""NORTHERN IRELAND"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""EAST GERMANY"", ""NORWARY"", ""FINLAND"", ""SWEDEN"", ""AUSTRIA"", ""CYPRUS(REPUBLIC)"", ""CZECH REPUBLIC"", ""ESTONIA"", ""HUNGARY"", ""LATVIA"", ""LITHUANIA"", ""MALTA"", ""POLAND"", ""SLOVAKIA"", ""SLOVENIA"", ""BULGARIA"", ""ROMANIA""), y_dcpo=2007)","wt682 <- eb682$V8;  wt[grep(""DE\\-"", eb682$v7)] <- eb682$v12[grep(""DE\\-"", eb682$v7)]; wt[grep(""GB\\-"", eb682$v7)] <- eb682$v10[grep(""DE\\-"", eb682$v7)]",GESIS: ZA4742,2007,excluding Norway
eb691,"eb691 <- read_dta( ""gesis_files/ZA4743/ZA4743_v3-0-1.dta"")","data_frame(v6 = 1:30, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""WEST GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""GREAT BRITAIN"", ""NORTHERN IRELAND"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""EAST GERMANY"", ""NORWARY"", ""FINLAND"", ""SWEDEN"", ""AUSTRIA"", ""CYPRUS(REPUBLIC)"", ""CZECH REPUBLIC"", ""ESTONIA"", ""HUNGARY"", ""LATVIA"", ""LITHUANIA"", ""MALTA"", ""POLAND"", ""SLOVAKIA"", ""SLOVENIA"", ""BULGARIA"", ""ROMANIA""), y_dcpo=2008)","wt691 <- eb691$V8;  wt[grep(""DE\\-"", eb691$v7)] <- eb691$v12[grep(""DE\\-"", eb691$v7)]; wt[grep(""GB\\-"", eb691$v7)] <- eb691$v10[grep(""DE\\-"", eb691$v7)]",GESIS: ZA4743,2008,excluding Norway
eb692,"eb692 <- read_dta( ""gesis_files/ZA4744/ZA4744_v5-0-0.dta"")","data_frame(v6 = 1:34, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""WEST GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""GREAT BRITAIN"", ""NORTHERN IRELAND"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""EAST GERMANY"", ""NORWARY"", ""FINLAND"", ""SWEDEN"", ""AUSTRIA"", ""CYPRUS(REPUBLIC)"", ""CZECH REPUBLIC"", ""ESTONIA"", ""HUNGARY"", ""LATVIA"", ""LITHUANIA"", ""MALTA"", ""POLAND"", ""SLOVAKIA"", ""SLOVENIA"", ""BULGARIA"", ""ROMANIA"", ""TURKEY"", ""CROTIA"", ""CYPRUS(TCC)"", ""MACEDONIA(FYROM)"" ), y_dcpo=2008)","wt692 <- eb692$V8;  wt[grep(""DE\\-"", eb692$v7)] <- eb692$v12[grep(""DE\\-"", eb692$v7)]; wt[grep(""GB\\-"", eb692$v7)] <- eb692$v10[grep(""DE\\-"", eb692$v7)]",GESIS: ZA4744,2008,excluding Norway
eb701,"eb701 <- read_dta( ""gesis_files/ZA4819/ZA4819_v3-0-2.dta"")","data_frame(v6 = 1:34, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""WEST GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""GREAT BRITAIN"", ""NORTHERN IRELAND"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""EAST GERMANY"", ""NORWARY"", ""FINLAND"", ""SWEDEN"", ""AUSTRIA"", ""CYPRUS(REPUBLIC)"", ""CZECH REPUBLIC"", ""ESTONIA"", ""HUNGARY"", ""LATVIA"", ""LITHUANIA"", ""MALTA"", ""POLAND"", ""SLOVAKIA"", ""SLOVENIA"", ""BULGARIA"", ""ROMANIA"", ""TURKEY"", ""CROTIA"", ""CYPRUS(TCC)"", ""MACEDONIA(FYROM)"" ), y_dcpo=2008)","wt701 <- eb701$V8;  wt[grep(""DE\\-"", eb701$v7)] <- eb701$v12[grep(""DE\\-"", eb701$v7)]; wt[grep(""GB\\-"", eb701$v7)] <- eb701$v10[grep(""DE\\-"", eb701$v7)]",GESIS: ZA4819,2008,excluding Norway
eb711,"eb711 <- read_dta( ""gesis_files/ZA4971/ZA4971_v4-0-0.dta"")","data_frame(v6 = 1:34, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""WEST GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""GREAT BRITAIN"", ""NORTHERN IRELAND"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""EAST GERMANY"", ""NORWARY"", ""FINLAND"", ""SWEDEN"", ""AUSTRIA"", ""CYPRUS(REPUBLIC)"", ""CZECH REPUBLIC"", ""ESTONIA"", ""HUNGARY"", ""LATVIA"", ""LITHUANIA"", ""MALTA"", ""POLAND"", ""SLOVAKIA"", ""SLOVENIA"", ""BULGARIA"", ""ROMANIA"", ""TURKEY"", ""CROTIA"", ""CYPRUS(TCC)"", ""MACEDONIA(FYROM)"" ), y_dcpo=2009)","wt711 <- eb711$V8;  wt[grep(""DE\\-"", eb711$v7)] <- eb711$v12[grep(""DE\\-"", eb711$v7)]; wt[grep(""GB\\-"", eb711$v7)] <- eb711$v10[grep(""DE\\-"", eb711$v7)]",GESIS: ZA4971,2009,excluding Norway
eb712,"eb712 <- read_dta( ""gesis_files/ZA4972/ZA4972_v3-0-2.dta"")","data_frame(v6 = 1:34, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""WEST GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""GREAT BRITAIN"", ""NORTHERN IRELAND"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""EAST GERMANY"", ""NORWARY"", ""FINLAND"", ""SWEDEN"", ""AUSTRIA"", ""CYPRUS(REPUBLIC)"", ""CZECH REPUBLIC"", ""ESTONIA"", ""HUNGARY"", ""LATVIA"", ""LITHUANIA"", ""MALTA"", ""POLAND"", ""SLOVAKIA"", ""SLOVENIA"", ""BULGARIA"", ""ROMANIA"", ""TURKEY"", ""CROTIA"", ""CYPRUS(TCC)"", ""MACEDONIA(FYROM)"" ), y_dcpo=2009)","wt712 <- eb712$V8;  wt[grep(""DE\\-"", eb712$v7)] <- eb712$v12[grep(""DE\\-"", eb712$v7)]; wt[grep(""GB\\-"", eb712$v7)] <- eb712$v10[grep(""DE\\-"", eb712$v7)]",GESIS: ZA4972,2009,excluding Norway
eb713,"eb713 <- read_dta( ""gesis_files/ZA4973/ZA4973_v3-0-0.dta"")","data_frame(v6 = 1:34, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""WEST GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""GREAT BRITAIN"", ""NORTHERN IRELAND"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""EAST GERMANY"", ""NORWARY"", ""FINLAND"", ""SWEDEN"", ""AUSTRIA"", ""CYPRUS(REPUBLIC)"", ""CZECH REPUBLIC"", ""ESTONIA"", ""HUNGARY"", ""LATVIA"", ""LITHUANIA"", ""MALTA"", ""POLAND"", ""SLOVAKIA"", ""SLOVENIA"", ""BULGARIA"", ""ROMANIA"", ""TURKEY"", ""CROTIA"", ""CYPRUS(TCC)"", ""MACEDONIA(FYROM)"" ), y_dcpo=2009)","wt713 <- eb713$V8;  wt[grep(""DE\\-"", eb713$v7)] <- eb713$v12[grep(""DE\\-"", eb713$v7)]; wt[grep(""GB\\-"", eb713$v7)] <- eb713$v10[grep(""DE\\-"", eb713$v7)]",GESIS: ZA4973,2009,excluding Norway
eb721,"eb721 <- read_dta( ""gesis_files/ZA4975/ZA4975_v3-0-0.dta"")","data_frame(v6 = 1:30, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""WEST GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""GREAT BRITAIN"", ""NORTHERN IRELAND"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""EAST GERMANY"", ""NORWARY"", ""FINLAND"", ""SWEDEN"", ""AUSTRIA"", ""CYPRUS(REPUBLIC)"", ""CZECH REPUBLIC"", ""ESTONIA"", ""HUNGARY"", ""LATVIA"", ""LITHUANIA"", ""MALTA"", ""POLAND"", ""SLOVAKIA"", ""SLOVENIA"", ""BULGARIA"", ""ROMANIA""), y_dcpo=2009)","wt721 <- eb721$V8;  wt[grep(""DE\\-"", eb721$v7)] <- eb721$v12[grep(""DE\\-"", eb721$v7)]; wt[grep(""GB\\-"", eb721$v7)] <- eb721$v10[grep(""DE\\-"", eb721$v7)]",GESIS: ZA4975,2009,excluding Norway
eb722,"eb722 <- read_dta( ""gesis_files/ZA4976/ZA4976_v3-0-0.dta"")","data_frame(v6 = 1:30, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""WEST GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""GREAT BRITAIN"", ""NORTHERN IRELAND"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""EAST GERMANY"", ""NORWARY"", ""FINLAND"", ""SWEDEN"", ""AUSTRIA"", ""CYPRUS(REPUBLIC)"", ""CZECH REPUBLIC"", ""ESTONIA"", ""HUNGARY"", ""LATVIA"", ""LITHUANIA"", ""MALTA"", ""POLAND"", ""SLOVAKIA"", ""SLOVENIA"", ""BULGARIA"", ""ROMANIA""), y_dcpo=2009)","wt722 <- eb722$V8;  wt[grep(""DE\\-"", eb722$v7)] <- eb722$v12[grep(""DE\\-"", eb722$v7)]; wt[grep(""GB\\-"", eb722$v7)] <- eb722$v10[grep(""DE\\-"", eb722$v7)]",GESIS: ZA4976,2009,excluding Norway
eb723,"eb723 <- read_dta( ""gesis_files/ZA4977/ZA4977_v2-0-0.dta"")","data_frame(v6 = 1:34, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""WEST GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""GREAT BRITAIN"", ""NORTHERN IRELAND"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""EAST GERMANY"", ""NORWARY"", ""FINLAND"", ""SWEDEN"", ""AUSTRIA"", ""CYPRUS(REPUBLIC)"", ""CZECH REPUBLIC"", ""ESTONIA"", ""HUNGARY"", ""LATVIA"", ""LITHUANIA"", ""MALTA"", ""POLAND"", ""SLOVAKIA"", ""SLOVENIA"", ""BULGARIA"", ""ROMANIA"", ""TURKEY"", ""CROTIA"", ""CYPRUS(TCC)"", ""MACEDONIA(FYROM)"" ), y_dcpo=2009)","wt723 <- eb723$V8;  wt[grep(""DE\\-"", eb723$v7)] <- eb723$v12[grep(""DE\\-"", eb723$v7)]; wt[grep(""GB\\-"", eb723$v7)] <- eb723$v10[grep(""DE\\-"", eb723$v7)]",GESIS: ZA4977,2009,excluding Norway
eb724,"eb724 <- read_dta( ""gesis_files/ZA4994/ZA4994_v3-0-0.dta"")","data_frame(v6 = 1:34, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""WEST GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""GREAT BRITAIN"", ""NORTHERN IRELAND"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""EAST GERMANY"", ""NORWARY"", ""FINLAND"", ""SWEDEN"", ""AUSTRIA"", ""CYPRUS(REPUBLIC)"", ""CZECH REPUBLIC"", ""ESTONIA"", ""HUNGARY"", ""LATVIA"", ""LITHUANIA"", ""MALTA"", ""POLAND"", ""SLOVAKIA"", ""SLOVENIA"", ""BULGARIA"", ""ROMANIA"", ""TURKEY"", ""CROTIA"", ""CYPRUS(TCC)"", ""MACEDONIA(FYROM)"" ), y_dcpo=2009)","wt724 <- eb724$V8;  wt[grep(""DE\\-"", eb724$v7)] <- eb724$v12[grep(""DE\\-"", eb724$v7)]; wt[grep(""GB\\-"", eb724$v7)] <- eb724$v10[grep(""DE\\-"", eb724$v7)]",GESIS: ZA4994,2009,excluding Norway
eb725,"eb725 <- read_dta( ""gesis_files/ZA4999/ZA4999_v5-1-0.dta"")","data_frame(v6 = 1:30, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""WEST GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""GREAT BRITAIN"", ""NORTHERN IRELAND"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""EAST GERMANY"", ""NORWARY"", ""FINLAND"", ""SWEDEN"", ""AUSTRIA"", ""CYPRUS(REPUBLIC)"", ""CZECH REPUBLIC"", ""ESTONIA"", ""HUNGARY"", ""LATVIA"", ""LITHUANIA"", ""MALTA"", ""POLAND"", ""SLOVAKIA"", ""SLOVENIA"", ""BULGARIA"", ""ROMANIA""), y_dcpo=2009)","wt725 <- eb725$V8;  wt[grep(""DE\\-"", eb725$v7)] <- eb725$v12[grep(""DE\\-"", eb725$v7)]; wt[grep(""GB\\-"", eb725$v7)] <- eb725$v10[grep(""DE\\-"", eb725$v7)]",GESIS: ZA4999,2009,excluding Norway
eb731,"eb731 <- read_dta( ""gesis_files/ZA5000/ZA5000_v4-0-0.dta"")","data_frame(v6 = c(1:14, 16:34, 41:43), c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""WEST GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""GREAT BRITAIN"", ""NORTHERN IRELAND"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""EAST GERMANY"", ""FINLAND"", ""SWEDEN"", ""AUSTRIA"", ""CYPRUS(REPUBLIC)"", ""CZECH REPUBLIC"", ""ESTONIA"", ""HUNGARY"", ""LATVIA"", ""LITHUANIA"", ""MALTA"", ""POLAND"", ""SLOVAKIA"", ""SLOVENIA"", ""BULGARIA"", ""ROMANIA"", ""TURKEY"", ""CROTIA"", ""CYPRUS(TCC)"", ""MACEDONIA(FYROM)"", ""NORWAY"", ""SWITZERLAND"", ""ICELAND"" ), y_dcpo=2010)","wt731 <- eb731$V8;  wt[grep(""DE\\-"", eb731$v7)] <- eb731$v12[grep(""DE\\-"", eb731$v7)]; wt[grep(""GB\\-"", eb731$v7)] <- eb731$v10[grep(""DE\\-"", eb731$v7)]",GESIS: ZA5000,2010,"including Norway, Switzerland and Iceland; "
eb732,"eb732 <- read_dta( ""gesis_files/ZA5232/ZA5232_v3-0-0.dta"")","data_frame(v6 = c(1:14, 16:34, 43), c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""WEST GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""GREAT BRITAIN"", ""NORTHERN IRELAND"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""EAST GERMANY"", ""FINLAND"", ""SWEDEN"", ""AUSTRIA"", ""CYPRUS(REPUBLIC)"", ""CZECH REPUBLIC"", ""ESTONIA"", ""HUNGARY"", ""LATVIA"", ""LITHUANIA"", ""MALTA"", ""POLAND"", ""SLOVAKIA"", ""SLOVENIA"", ""BULGARIA"", ""ROMANIA"", ""TURKEY"", ""CROTIA"", ""CYPRUS(TCC)"", ""MACEDONIA(FYROM)"", ""ICELAND"" ), y_dcpo=2010)","wt732 <- eb732$V8;  wt[grep(""DE\\-"", eb732$v7)] <- eb732$v12[grep(""DE\\-"", eb732$v7)]; wt[grep(""GB\\-"", eb732$v7)] <- eb732$v10[grep(""DE\\-"", eb732$v7)]",GESIS: ZA5232,2010,
eb733,"eb733 <- read_dta( ""gesis_files/ZA5233/ZA5233_v3-0-0.dta"")","data_frame(v6 = 1:30, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""WEST GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""GREAT BRITAIN"", ""NORTHERN IRELAND"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""EAST GERMANY"", ""NORWARY"", ""FINLAND"", ""SWEDEN"", ""AUSTRIA"", ""CYPRUS(REPUBLIC)"", ""CZECH REPUBLIC"", ""ESTONIA"", ""HUNGARY"", ""LATVIA"", ""LITHUANIA"", ""MALTA"", ""POLAND"", ""SLOVAKIA"", ""SLOVENIA"", ""BULGARIA"", ""ROMANIA""), y_dcpo=2010)","wt733 <- eb733$V8;  wt[grep(""DE\\-"", eb733$v7)] <- eb733$v12[grep(""DE\\-"", eb733$v7)]; wt[grep(""GB\\-"", eb733$v7)] <- eb733$v10[grep(""DE\\-"", eb733$v7)]",GESIS: ZA5233,2010,excluding Norway
eb734,"eb734 <- read_dta( ""gesis_files/ZA5234/ZA5234_v2-0-1.dta"")","data_frame(v6 = c(1:14, 16:34, 43), c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""WEST GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""GREAT BRITAIN"", ""NORTHERN IRELAND"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""EAST GERMANY"", ""FINLAND"", ""SWEDEN"", ""AUSTRIA"", ""CYPRUS(REPUBLIC)"", ""CZECH REPUBLIC"", ""ESTONIA"", ""HUNGARY"", ""LATVIA"", ""LITHUANIA"", ""MALTA"", ""POLAND"", ""SLOVAKIA"", ""SLOVENIA"", ""BULGARIA"", ""ROMANIA"", ""TURKEY"", ""CROTIA"", ""CYPRUS(TCC)"", ""MACEDONIA(FYROM)"", ""ICELAND"" ), y_dcpo=2010)","wt734 <- eb734$V8;  wt[grep(""DE\\-"", eb734$v7)] <- eb734$v12[grep(""DE\\-"", eb734$v7)]; wt[grep(""GB\\-"", eb734$v7)] <- eb734$v10[grep(""DE\\-"", eb734$v7)]",GESIS: ZA5234,2010,
eb735,"eb735 <- read_dta( ""gesis_files/ZA5235/ZA5235_v4-0-0.dta"")","data_frame(v6 = 1:30, c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""WEST GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""GREAT BRITAIN"", ""NORTHERN IRELAND"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""EAST GERMANY"", ""NORWARY"", ""FINLAND"", ""SWEDEN"", ""AUSTRIA"", ""CYPRUS(REPUBLIC)"", ""CZECH REPUBLIC"", ""ESTONIA"", ""HUNGARY"", ""LATVIA"", ""LITHUANIA"", ""MALTA"", ""POLAND"", ""SLOVAKIA"", ""SLOVENIA"", ""BULGARIA"", ""ROMANIA""), y_dcpo=2010)","wt735 <- eb735$V8;  wt[grep(""DE\\-"", eb735$v7)] <- eb735$v12[grep(""DE\\-"", eb735$v7)]; wt[grep(""GB\\-"", eb735$v7)] <- eb735$v10[grep(""DE\\-"", eb735$v7)]",GESIS: ZA5235,2010,excluding Norway
eb732+733,"eb732733 <- read_dta( ""gesis_files/ZA5236/ZA5236_v2-0-1.dta"")","data_frame(v6 = c(1:14, 16:30, 41, 43), c_dcpo = c(""FRANCE"", ""BELGIUM"", ""NETHERLANDS"", ""WEST GERMANY"", ""ITALY"", ""LUXEMBOURG"", ""DENMARK"", ""IREAND"", ""GREAT BRITAIN"", ""NORTHERN IRELAND"", ""GREECE"", ""SPAIN"", ""PORTUGAL"", ""EAST GERMANY"", ""FINLAND"", ""SWEDEN"", ""AUSTRIA"", ""CYPRUS(REPUBLIC)"", ""CZECH REPUBLIC"", ""ESTONIA"", ""HUNGARY"", ""LATVIA"", ""LITHUANIA"", ""MALTA"", ""POLAND"", ""SLOVAKIA"", ""SLOVENIA"", ""BULGARIA"", ""ROMANIA"", ""NORWAY"", ""ICELAND""), y_dcpo=2010)","wt732733 <- eb732733$V8;  wt[grep(""DE\\-"", eb732733$v7)] <- eb732733$v12[grep(""DE\\-"", eb732733$v7)]; wt[grep(""GB\\-"", eb732733$v7)] <- eb732733$v10[grep(""DE\\-"", eb732733$v7)]",GESIS: ZA5236,2010,
